source,target,weight,annee,mois,commentaire
MAUBEUGE,PARIS NORD,90.8,2014,8,
NÎMES,CLERMONT FERRAND,74.2,2014,8,
AMIENS,PARIS NORD,68.1,2014,9,
PARIS EST,BELFORT,97.7,2014,8,
PARIS AUSTERLITZ,BOURGES,88.1,2014,7,
CLERMONT FERRAND,PARIS BERCY,94.0,2014,8,
HENDAYE,TOULOUSE MATABIAU,80.0,2014,8,
BOURGES,PARIS AUSTERLITZ,91.1,2014,8,
BORDEAUX ST JEAN,LIMOGES,96.8,2014,8,
PARIS NORD,BOULOGNE,85.1,2014,7,
BOULOGNE,PARIS NORD,87.8,2014,8,
CAEN,PARIS ST LAZARE,91.8,2014,8,
AMIENS,PARIS NORD,85.7,2014,8,
CAEN,TOURS,76.5,2014,8,
PARIS AUSTERLITZ,ORLÉANS,84.4,2014,9,
ORLÉANS,PARIS AUSTERLITZ,82.1,2014,9,
GRANVILLE,PARIS VAUGIRARD,88.6,2014,9,
HENDAYE,TOULOUSE MATABIAU,92.2,2014,9,
LE HAVRE,PARIS ST LAZARE,88.0,2014,9,
BORDEAUX ST JEAN,LIMOGES,96.8,2014,10,
ROUEN,PARIS ST LAZARE,93.4,2014,9,
NEVERS,PARIS BERCY,97.4,2014,9,
TOURS,CAEN,90.0,2014,9,
BORDEAUX ST JEAN,LIMOGES,100.0,2014,9,
CLERMONT FERRAND,PARIS BERCY,96.5,2014,5,
BORDEAUX ST JEAN,NICE,65.2,2014,6,
BOURGES,PARIS AUSTERLITZ,89.6,2014,5,
PARIS BERCY,CLERMONT FERRAND,91.0,2014,5,
LYON PART DIEU,NANTES,87.7,2014,5,
MAUBEUGE,PARIS NORD,82.4,2014,5,
ROUEN,PARIS ST LAZARE,88.2,2014,5,
BÉZIERS,CLERMONT FERRAND,85.7,2014,5,
BÉZIERS,CLERMONT FERRAND,89.5,2014,6,
BELFORT,PARIS EST,96.8,2014,5,
PARIS AUSTERLITZ,BOURGES,95.1,2014,1,
PARIS AUSTERLITZ,TOURS,81.1,2014,1,
BORDEAUX ST JEAN,NANTES,76.6,2014,2,
BORDEAUX ST JEAN,NICE,84.4,2014,2,
PARIS ST LAZARE,ROUEN,92.8,2014,1,
CLERMONT FERRAND,NÎMES,93.5,2014,1,
PARIS NORD,BOULOGNE,91.0,2014,1,
AMIENS,PARIS NORD,82.3,2014,2,
TROYES,PARIS EST,91.5,2014,1,
CLERMONT FERRAND,BÉZIERS,100.0,2014,2,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,86.2,2014,4,
PARIS AUSTERLITZ,ORLÉANS,83.0,2014,4,
PARIS AUSTERLITZ,BOURGES,91.6,2014,4,
PARIS AUSTERLITZ,TOURS,83.9,2014,4,
PARIS ST LAZARE,ROUEN,93.5,2014,4,
PARIS BERCY,CLERMONT FERRAND,91.0,2014,4,
TOURS,PARIS AUSTERLITZ,86.7,2014,4,
PARIS NORD,BOULOGNE,90.5,2014,4,
CAEN,PARIS ST LAZARE,94.2,2014,4,
TROYES,PARIS EST,93.6,2014,4,
PARIS AUSTERLITZ,ORLÉANS,76.9,2014,6,
LE HAVRE,PARIS ST LAZARE,90.4,2015,9,
MAUBEUGE,PARIS NORD,91.0,2015,9,
NEVERS,PARIS BERCY,88.7,2015,9,
NICE,BORDEAUX ST JEAN,76.1,2015,9,
PARIS AUSTERLITZ,TOURS,85.0,2015,9,
PARIS AUSTERLITZ,BOURGES,84.9,2015,9,
PARIS EST,TROYES,87.3,2015,9,
PARIS NORD,AMIENS,79.3,2015,9,
PARIS NORD,BOULOGNE,92.1,2015,9,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,89.5,2015,9,
AMIENS,PARIS NORD,74.8,2015,10,
CAEN,TOURS,82.8,2015,10,
CAEN,PARIS ST LAZARE,84.1,2015,10,
CLERMONT FERRAND,NÎMES,,2015,10,
CLERMONT FERRAND,PARIS BERCY,84.1,2015,10,
CLERMONT FERRAND,BÉZIERS,96.7,2015,10,
NANTES,LYON PART DIEU,85.7,2015,10,
PARIS NORD,AMIENS,82.2,2015,10,
PARIS ST LAZARE,LE HAVRE,88.0,2015,10,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,92.9,2015,10,
TOURS,CAEN,88.3,2015,10,
BOULOGNE,PARIS NORD,83.6,2015,11,
BOURGES,PARIS AUSTERLITZ,74.8,2015,11,
CAEN,PARIS ST LAZARE,87.1,2015,11,
CERBERE,PARIS AUSTERLITZ,79.6,2015,11,
CLERMONT FERRAND,NÎMES,,2015,11,
GRANVILLE,PARIS VAUGIRARD,88.8,2015,11,
HENDAYE,TOULOUSE MATABIAU,93.2,2015,11,
LE HAVRE,PARIS ST LAZARE,89.7,2015,11,
MAUBEUGE,PARIS NORD,83.6,2015,11,
NICE,BORDEAUX ST JEAN,76.8,2015,11,
NÎMES,CLERMONT FERRAND,,2015,11,
PARIS AUSTERLITZ,ORLÉANS,70.3,2015,11,
PARIS AUSTERLITZ,BOURGES,82.5,2015,11,
PARIS BERCY,CLERMONT FERRAND,89.4,2015,11,
PARIS EST,TROYES,93.3,2015,11,
PARIS NORD,MAUBEUGE,84.4,2015,11,
PARIS ST LAZARE,LE HAVRE,85.8,2015,11,
PARIS ST LAZARE,ROUEN,91.2,2015,11,
PARIS VAUGIRARD,GRANVILLE,89.9,2015,11,
BORDEAUX ST JEAN,NICE,91.5,2015,12,
CLERMONT FERRAND,PARIS BERCY,87.5,2015,12,
PARIS ST LAZARE,ROUEN,93.4,2015,12,
TOULOUSE MATABIAU,HENDAYE,99.0,2015,12,
TOURS,PARIS AUSTERLITZ,87.0,2015,12,
BELFORT,PARIS EST,96.4,2016,1,
BORDEAUX ST JEAN,LIMOGES,90.0,2016,1,
BORDEAUX ST JEAN,NANTES,66.1,2016,1,
CLERMONT FERRAND,PARIS BERCY,90.9,2016,1,
NANTES,BORDEAUX ST JEAN,62.9,2016,1,
TOULOUSE MATABIAU,HENDAYE,88.2,2016,1,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,88.3,2016,1,
CLERMONT FERRAND,PARIS BERCY,87.6,2016,2,
MAUBEUGE,PARIS NORD,91.4,2016,2,
NICE,BORDEAUX ST JEAN,75.6,2016,2,
PARIS AUSTERLITZ,ORLÉANS,84.3,2016,2,
PARIS NORD,MAUBEUGE,92.2,2016,2,
PARIS ST LAZARE,LE HAVRE,91.7,2016,2,
BELFORT,PARIS EST,94.4,2016,3,
CAEN,TOURS,98.4,2016,3,
MAUBEUGE,PARIS NORD,89.2,2016,3,
NANTES,LYON PART DIEU,100.0,2016,3,
NÎMES,CLERMONT FERRAND,100.0,2016,3,
PARIS AUSTERLITZ,ORLÉANS,82.4,2016,3,
BORDEAUX ST JEAN,LIMOGES,93.8,2016,4,
BOULOGNE,PARIS NORD,81.7,2016,4,
NANTES,LYON PART DIEU,95.2,2016,4,
NICE,BORDEAUX ST JEAN,80.1,2016,4,
PARIS AUSTERLITZ,CERBERE,95.7,2016,4,
PARIS BERCY,CLERMONT FERRAND,83.8,2016,4,
PARIS BERCY,NEVERS,88.5,2016,4,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,83.1,2016,4,
BÉZIERS,CLERMONT FERRAND,100.0,2016,5,
BOULOGNE,PARIS NORD,84.6,2016,5,
CERBERE,PARIS AUSTERLITZ,78.9,2016,5,
CLERMONT FERRAND,NÎMES,100.0,2016,5,
CLERMONT FERRAND,PARIS BERCY,77.9,2016,5,
GRANVILLE,PARIS VAUGIRARD,86.1,2016,5,
LIMOGES,BORDEAUX ST JEAN,87.0,2016,5,
NANTES,BORDEAUX ST JEAN,78.8,2016,5,
PARIS AUSTERLITZ,CERBERE,94.7,2016,5,
PARIS BERCY,NEVERS,79.5,2016,5,
PARIS NORD,MAUBEUGE,90.7,2016,5,
TOULOUSE MATABIAU,HENDAYE,64.8,2016,5,
AMIENS,PARIS NORD,91.9,2016,6,
CLERMONT FERRAND,PARIS BERCY,61.7,2016,6,
LYON PART DIEU,NANTES,91.3,2016,6,
MAUBEUGE,PARIS NORD,92.5,2016,6,
NEVERS,PARIS BERCY,60.0,2016,6,
ORLÉANS,PARIS AUSTERLITZ,77.6,2016,6,
